Printed on: 2013-10-8 13:10:33 
Date	Part number	Serial number	Status	Wave.	Fiber	IL	Refl.	IL A	Refl.A	IL B	Refl.B 
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	2	n/a	n/a	0.05	-39.1	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	3	n/a	n/a	0.05	-39.8	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	4	n/a	n/a	0.07	-41.5	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	5	n/a	n/a	0.04	-35.7	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	6	n/a	n/a	0.07	-40.6	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	7	n/a	n/a	0.07	-39.9	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	8	n/a	n/a	0.04	-39.8	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	9	n/a	n/a	0.07	-41.0	n/a	n/a2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	10	n/a	n/a	0.04	-39.4	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	11	n/a	n/a	0.05	-37.6	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	850nm	12	n/a	n/a	0.03	-38.1	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	1	n/a	n/a	0.23	-41.4	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	2	n/a	n/a	0.08	-42.0	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	3	n/a	n/a	0.13	-40.9	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	4	n/a	n/a	0.22	-42.1	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	5	n/a	n/a	0.22	-36.0	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	6	n/a	n/a	0.22	-40.8	n/a	n/a
